Transcript,Date,Position,Person,Party,Text,Subject
DAR-001,17 DE SETEMBRO DE 2020,10,Presidente,,"Sr. Deputado, inscreveram-se, para pedir esclarecimentos, seis Srs. Deputados. Como pretende responder?",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,11,Luís Moreira Testa,PS,"Em grupos de três, Sr. Presidente. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,12,Presidente,,"Tem a palavra, então, o Sr. Deputado José Luís Ferreira, de Os Verdes. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,13,José Luís Ferreira,PEV,"Sr. Presidente, Sr.as e Srs. Deputados, Sr. Deputado Luís Testa, saúdo-o por ter trazido à discussão um assunto com esta importância, que tem, aliás, merecido a maior atenção por parte de Os Verdes, como sabe. De facto, falar de coesão territorial é falar da necessidade de combater as assimetrias regionais, é falar da necessidade de travar a desertificação do interior do País e o abandono do mundo rural. É, portanto, um assunto que deveria merecer a maior atenção, tanto no plano de recuperação económica, como nas Grandes Opções do Plano, como mesmo no próprio Orçamento do Estado para 2021, porque há, de facto, muita coisa a fazer nesta matéria. É preciso promover incentivos para a criação de postos de trabalho no interior; é preciso reabrir serviços públicos, que o Governo do PSD e CDS fechou por todo o interior do País; é preciso investir na ferrovia e reabrir linhas e ramais, que foram desativados por todo o interior do País; e também é preciso dar vida ao Estatuto da Agricultura Familiar, é preciso fazê-lo sair do papel. Como o Sr. Deputado sabe, o Governo aprovou e fez publicar o Estatuto da Agricultura Familiar, mas até agora pouco ou nada se avançou, para além da sua publicação. Ora, a agricultura familiar pode representar um excelente contributo, não só em termos da soberania alimentar, não só enquanto contributo para a prevenção de incêndios florestais, porque onde há gente há menos incêndios ou, pelo menos, não tendem a ganhar a dimensão a que temos vindo a assistir, mas também enquanto fator ou elemento decisivo para combater a desertificação do interior e o abandono do mundo rural. Portanto, isto é importante quando falamos de coesão territorial. Sr. Deputado, aquilo que lhe pergunto é se concorda com a leitura que Os Verdes têm sobre esta matéria no que diz respeito à necessidade de o Governo fazer sair do papel o Estatuto da Agricultura Familiar como parte integrante deste desígnio, que é o propósito da coesão territorial e do combate à desertificação do interior. Aplausos de Deputados do PCP.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,14,Presidente,,"Para pedir esclarecimentos, tem a palavra o Sr. Deputado André Ventura, do Chega. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,15,André Ventura,CH,"Sr. Presidente, Sr. Deputado Luís Testa, ouvimo-lo, com atenção, falar de descentralização e de coesão, mas não podemos perder a oportunidade de lhe dizer o seguinte: segundo todos os relatórios que temos, desde os da União Europeia até aos das comissões independentes, hoje o País está menos descentralizado do que estava há cinco anos. Segundo todos os relatórios, hoje o País está menos coeso do que estava há cinco anos, em matéria de agricultura, em matéria de emprego, em matéria de saúde e, sobretudo, em matéria de cultura e de desenvolvimento industrial. Vir aqui fazer uma declaração política sobre centralização, descentralização e coesão mais não é do que brincar com os eleitores. Coloco duas perguntas muito concretas. Primeira: o que é que o Partido Socialista vai fazer em termos de descentralização efetiva em matéria cultural e industrial? É que o Primeiro-Ministro falou muito de descentralização cultural e não disse absolutamente nada. Segunda: em que vamos ficar no processo de regionalização? Vão avançar ou não com a regionalização? Precisamos de saber o que é que vão fazer nessa matéria. E agora não menos importante do que estas duas perguntas que lhe coloquei: o Partido Socialista vai, finalmente, fazer um pacto com as autarquias locais para a descentralização ou vai esperar pelas eleições autárquicas para colocar os seus novamente no mesmo lugar e, depois, descentralizar com quem quer, como pode e da mesma maneira de sempre, distribuindo pelos amigos, que é o que sabe fazer? I SÉRIE — NÚMERO 1",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,16,Presidente,,"Para formular pedidos de esclarecimento, tem a palavra o Sr. Deputado João Dias. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,17,João Dias,PCP,"Sr. Presidente, Srs. Deputados, Sr. Deputado Luís Testa, quero felicitá-lo pelo tema que aqui trouxe, pois é bastante relevante e há muito que o PCP o tem debatido nesta Casa. O Sr. Deputado admitiu que há alguns meses, semanas ou dias puderam perceber, finalmente, a necessidade de corrigir os desequilíbrios estruturantes e estruturais que temos no nosso País e que têm conduzido a estas desigualdades territoriais. Mas, de facto, lamento, não lhe ouvi uma palavra sobre a agricultura. Referir-se ao mundo rural e ao interior — aliás, o Sr. Deputado referiu-se ao interior, mas apenas às desigualdades territoriais — e não abordar o aspeto da agricultura é uma entorse que revela perfeitamente a abordagem e a relevância que o PS dá à agricultura no que respeita ao combate às desigualdades territoriais. Protestos do Deputado do PS Pedro do Carmo. Para o PCP, defender o mundo rural e o interior só é possível se seguirmos uma política alternativa de defesa da agricultura familiar, da criação de emprego, do reforço dos serviços públicos e do desenvolvimento regional. Só assim poderemos criar condições para aqueles que lá vivem. Pergunto-lhe, Sr. Deputado, qual é a valorização que a agricultura familiar e a agricultura podem ter na criação de emprego e na fixação de pessoas nos territórios do interior, aspeto fundamental no desenvolvimento económico e social. Já que falou sobre desequilíbrios estruturais, pergunto-lhe sobre a necessidade de dotar estes territórios de serviços públicos de saúde, nomeadamente de cuidados de saúde primários, ou seja, do tão importante acesso da população à saúde. Estamos numa situação de iminente rutura no que respeita ao acesso da população do interior à saúde. Há meios e profissionais necessários? Está o PS disponível para criar condições de reforço destes serviços públicos? Já agora, e quanto à conclusão do IP3 e do IP8?",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,18,Presidente,,"Tem de terminar, Sr. Deputado. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,19,João Dias,PCP,"Termino, Sr. Presidente. Quanto à eletrificação da Linha do Alentejo? Quanto ao Hospital Central do Alentejo? Quanto à segunda fase das obras de ampliação do hospital de Beja? Em relação a tudo isto, como é que ficamos, Sr. Deputado? E poderia ter mencionado aqui tantas outras coisas. Aplausos do PCP e do PEV.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,20,Presidente,,"Para responder, tem a palavra o Sr. Deputado Luís Testa, do Grupo Parlamentar do PS. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,21,Luís Moreira Testa,PS,"Sr. Presidente, passo a responder a este lote de três perguntas, as quais agradecemos, como é óbvio. Sr. Deputado José Luís Ferreira, obviamente que o Partido Socialista considera a agricultura familiar como um fator de desenvolvimento dos territórios de baixa densidade e olha para esta vertente da agricultura como aquela que é a mais genuína das formas de agricultura e que tem de ser, obviamente, valorizada no contexto do panorama nacional. Aplausos do PS. Sr. Deputado João Dias, se me permite, este é que é o ponto: não podemos colocar uma das questões que é para nós importante para desenvolver os territórios de baixa densidade como se fosse a única, só e ela mesma a responsável pelo desenvolvimento económico, porque há outras formas de agricultura, há outras formas de indústria, há outra capacidade produtiva que também tem de ser gerada no interior. Há sofisticação que tem de ser gerada no interior, tem de ser potenciada no interior e não podemos olhar só para metade do caminho, porque, se só olharmos para metade do caminho, também defraudamos as expectativas dessas pessoas. Sr. Deputado: serviços públicos? Falemos dos serviços públicos que este Governo e o anterior reabriram. Não preciso de os elencar, porque o Sr. Deputado também faz parte de uma solução de apoio a um Governo que permitiu abrir serviços públicos no interior.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,22,Pedro do Carmo,PS,Essa é que é essa!,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,23,Luís Moreira Testa,PS,"Portanto, escuso-me de escalpelizar, um a um, as dezenas e dezenas de serviços públicos que foram reabertos. O Sr. Deputado teve oportunidade de elencar um conjunto significativo de obras que estão nas linhas de investimento, quer do PNI (Programa Nacional de Investimentos), quer do Programa Nacional de Reformas, e que também fazem parte da agenda. A pergunta que deve fazer não é sobre as obras, é sobre os recursos. Estamos a trabalhar nos recursos para que essas obras sejam uma realidade. O Sr. Deputado André Ventura referiu-se à descentralização cultural e à descentralização industrial. Bem, socorro-me de uma frase do Sr. Deputado. O Sr. Deputado é que está parado há cinco anos! O Sr. Deputado não percebe nada do que se está a passar no País! Aplausos do PS. Risos do CH. O Sr. Deputado não percebeu os avanços, o progresso que aconteceu na última Legislatura e, apesar da pandemia que vivemos, a ambição que temos enquanto maioria parlamentar, e que este Governo tem, de posicionar Portugal como um País avançado, próspero, moderno e que dê dignidade e condições de vida a todos os seus habitantes. Sr. Deputado, em matéria autárquica chamamos «descentralização» e em matéria de organismos do Estado chamamos «desconcentração», e, portanto, não é compatível com o movimento de descentralização que estamos a fazer para os municípios. Mas o Sr. Deputado fez esta pergunta para chegar ao tema da regionalização.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,24,Presidente,,"Sr. Deputado, peço-lhe que conclua, por favor. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,25,Luís Moreira Testa,PS,"Vou concluir, Sr. Presidente. A regionalização é uma bandeira do Partido Socialista de há largas décadas, mas não é o que estamos a defender neste momento. Neste momento, defendemos a democratização das CCDR (comissões de coordenação e desenvolvimento regionais), porque faz falta que quem decide sobre os fundos comunitários para as câmaras, para as autarquias locais, para as empresas, para os cidadãos também responda democraticamente, ainda que de forma indireta, sobre as decisões que toma. Aplausos do PS.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,26,Presidente,,"Para formular pedidos de esclarecimento, tem a palavra a Sr.ª Deputada Cecília Meireles, do Grupo Parlamentar do CDS-PP. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,27,Cecília Meireles,CDS-PP,"Sr. Presidente, cumprimento, em primeiro lugar, o Sr. Deputado do Partido Socialista Luís Testa. Quando ouvi a sua intervenção, perguntei a mim própria em que país viveria o Sr. Deputado e se seria o mesmo Portugal em que vivo, porque o país que o senhor descreve — um oásis, um país avançado, cheio de planos, de agendas, de desígnios —, na melhor das hipóteses, existe apenas nos seus desejos. O que realmente temos é um País em que a descentralização para as autarquias, que os senhores prometeram, tem sido adiada inúmeras vezes e está muito longe de estar completa. I SÉRIE — NÚMERO 1 Protestos do Deputado do PS Pedro do Carmo. Gostaria de lhe fazer uma pergunta. O Sr. Deputado falou de uma coisa a que chamou de «democratização das CCDR». Não é uma democratização! Aquilo a que o senhor chama de «democratização das CCDR» é, na realidade, a repartição do Estado por clientelas e comissários políticos escolhidos a dedo pelo PS e pelo PSD.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,28,João Pinho de Almeida,CDS-PP,Muito bem!,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,29,Cecília Meireles,CDS-PP,"O Sr. Deputado diz, com naturalidade, que são eles que vão aplicar os fundos comunitários, mas chamo-lhe a atenção para as várias notícias sobre as escolhas do Presidente do PSD para esta ou aquela CCDR e até para o facto de o Governo estar a aproveitar as nomeações das CCDR para mexer em secretarias de Estado, para mandar para lá uns secretários de Estado!",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,30,João Pinho de Almeida,CDS-PP,Exatamente!,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,31,Cecília Meireles,CDS-PP,É a isto que os senhores chamam «descentralização»!,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,32,João Pinho de Almeida,CDS-PP,Muito bem!,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,33,Cecília Meireles,CDS-PP,"Isto é a consagração de Portugal como um país clientelar, em que os fundos comunitários são executados e quem decide quem os recebe são comissários políticos escolhidos pelo bloco central PS/PSD!",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,34,João Pinho de Almeida,CDS-PP,Muito bem! Protestos do Deputado do PS Pedro do Carmo.,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,35,Cecília Meireles,CDS-PP,"Isto não é democracia, isto é a consagração de um Portugal clientelar muito mais próprio do século XIX do que do século XXI! Aplausos do CDS-PP.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,36,Presidente,,"Para formular pedidos de esclarecimento, tem a palavra o Sr. Deputado José Maria Cardoso, do Grupo Parlamentar do Bloco de Esquerda. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,37,José Maria Cardoso,BE,"Sr. Presidente, Sr. Deputado Luís Testa, agradeço por ter trazido este tema à discussão, um tema antigo, debatido, mas cujos resultados têm sido muito poucos. Na verdade, depois de tanta discussão sobre todas estas questões, continuamos a ter um País desequilibrado, assimétrico e com uma grande falta de coesão de oportunidades, que é o aspeto fundamental a ter em atenção. Antes de criar condições de fixação e atração, o que é fundamental que aconteça, é preciso perceber porque é que as pessoas saíram destes territórios, porque é que houve este abandono, porque é que houve este despovoamento, aliás, em alguns casos verificou-se quase uma desertificação humana, especialmente no mundo rural. Não se podem cometer os mesmos erros e temos de ter em atenção que não basta investir dinheiros públicos, nomeadamente dinheiro dos fundos comunitários, sem vermos quais as verdadeiras prioridades desse investimento. Parece-nos fundamental que isso aconteça e até ao momento não o vimos da parte do Partido Socialista, concretamente do Governo. Não basta criar um ministério, é preciso dar-lhe essa mesma utilidade. Em relação à cimeira a que fez alusão, a Cimeira Luso-Espanhola, ainda agora se percebeu que há um conjunto de problemas comuns e com necessidade de uma cooperação transfronteiriça. É preciso haver condições conjuntas para que esta situação se crie como verdadeira e efetiva. O Sr. Deputado Luís Testa também fez alusão ao tema da regionalização, dizendo que é um desiderato do PS. O problema é que não tem passado disso, ou seja, mantém-se como um desiderato sem qualquer efetivação. Pergunto-lhe, muito concretamente, se estará o Partido Socialista disposto a construir, com todos e de uma forma aberta e plural, naturalmente, um verdadeiro plano nacional de valorização dos interiores — o interior não é todo igual e não pode ser tratado todo da mesma forma —, que, entre outros pontos, contemple uma carta de serviços públicos básicos, uma articulação integral do território, a recuperação de muitos dos serviços perdidos e a criação de uma condição para ser atrativa a esse nível, como, por exemplo, o acesso a uma ligação de telecomunicações com capacidade de cobertura em todo este território do interior, que é uma falha grave, pois, na verdade, não está contemplada.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,38,Presidente,,"Sr. Deputado, tem de concluir. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,39,José Maria Cardoso,BE,"E tudo isso fazendo uma transição ecológica, agroflorestal e energética que responda às necessidades dos nossos tempos. Devemos pôr as pessoas à frente de qualquer perspetiva economicista. Aplausos do BE.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,40,Presidente,,É a vez de o Grupo Parlamentar do PSD pedir esclarecimentos. Tem a palavra o Sr. Deputado Carlos Peixoto.,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,41,Carlos Peixoto,PSD,"Sr. Presidente, Sr. Deputado Luís Testa, começo por cumprimentá-lo e por dizer-lhe que, quando vi no agendamento da sessão uma declaração política sobre a coesão territorial apresentada pelo Grupo Parlamentar do Partido Socialista, fiquei à espera de uma revelação, de uma novidade, de um rasgo, de qualquer anúncio sério. Sinceramente, não percebo porque é que o Partido Socialista fala aqui deste tema. O que é que o Sr. Deputado quer com isto? Explique lá! O que é que quer com isto?! É que a primeira parte da sua declaração política é apenas o reconhecimento do fracasso do País, do Estado português — o Estado português que os senhores lideraram! Protestos do Deputado do PCP João Dias. Nos últimos 24 anos, lideraram-no durante 18 anos. E o senhor veio aqui falar do vosso próprio fracasso! Foi o que o senhor fez! Aplausos do PSD. Sabe, Sr. Deputado, para além de alguns clichés, para além de algumas declarações pífias, seria importante que nos dissesse, uma vez que estamos a um passo de discutir aqui, neste Plenário, e enviar para Bruxelas o plano estratégico de recuperação do País,… Protestos do Deputado do PS Pedro do Carmo. … o que é que o Partido Socialista diz daquela proposta do Grupo Parlamentar do PSD que vem exortar o Governo a criar uma dotação específica com gestão autónoma destes 15 000 milhões de euros. Retirem lá, por favor, uma parte para o interior, apliquem-na no interior, mas em projetos concretos — eu diria que em projetos mágicos! —, não em palavreado. Estamos cansados do diagnóstico, estamos cansados de falar disto, os senhores têm o dinheiro lá de fora e, portanto, têm de ter a coragem de, neste momento, o aplicar como deve ser e têm de ter a coragem de o dotar especificamente, numa rubrica específica — dinheiro para aplicar no interior do País. I SÉRIE — NÚMERO 1 Aplausos do PSD. E o senhor não pode vir aqui falar de coesão territorial sem nos dizer se o PS vai ou não vai baixar o valor das portagens; se o PS vai ou não vai concluir o IP3; se o PS vai ou não vai fazer o hospital da Guarda; se o PS está ou não está interessado em discriminar o interior com ensino superior de qualidade.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,42,Presidente,,"Tem de concluir, Sr. Deputado. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,43,Carlos Peixoto,PSD,"Termino já, Sr. Presidente. E não pode chegar aqui sem se pronunciar sobre a proposta que o Presidente do PSD hoje fez de descentralizar serviços, neste caso dois tribunais para Coimbra…",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,44,Pedro do Carmo,PS,Ah!…,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,45,Carlos Peixoto,PSD,"… e outros, que é o que os senhores nunca fizeram nestes últimos anos. Aplausos do PSD.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,46,Presidente,,"Tem a palavra o Sr. Deputado Luís Testa, do Grupo Parlamentar do PS, para responder às várias questões. ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,47,Luís Moreira Testa,PS,"Sr. Presidente, Sr.ª Deputada Cecília Meireles, também me podia debruçar sobre os desejos de V. Ex.ª e, certamente, tiraria apenas uma conclusão: nos desejos de V. Ex.ª quanto pior melhor, para que possa atacar aquilo que puder atacar. Protestos de Deputados do PSD. Relativamente à democratização das CCDR, a Sr.ª Deputada apelidou os presidentes de câmara municipal — autarcas deste País —, os membros das assembleias municipais, os presidentes das juntas de freguesia de clientelas políticas?! Protestos da Deputada do CDS-PP Cecília Meireles. É que são esses, eleitos democraticamente pelo povo português, que vão votar e legitimar os quadros das CCDR.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,48,Pedro do Carmo,PS,Essa é que é essa!,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,49,Luís Moreira Testa,PS,"Sr. Deputado José Maria Cardoso, bem sabemos que não esteve aqui na última Legislatura e, portanto, não terá lido o Programa de Valorização do Interior. Convido-o a recuperar esse documento e a lê-lo, para que possa ser atualizado e melhorado, eventualmente, e ser objeto da sua proposta política, que, obviamente, estaremos disponíveis para analisar. Mas dizer que não há um plano de valorização do interior parece-me excessivo, sabendo todos nós que existe um Programa de Valorização do Interior, que é um documento oficial do Governo anterior. Portanto, Sr. Deputado, convido-o ao exercício de visitar esse documento. Sr. Deputado Carlos Peixoto, pífio é V. Ex.ª!",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,50,Carlos Peixoto,PSD,"Estou a discutir ideias, não pessoas! ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,51,Luís Moreira Testa,PS,"Pífio é V. Ex.ª, porque acusa outros de proferirem declarações pífias,… ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,52,Carlos Peixoto,PSD,O que é que isso tem a ver com as ideias?!,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,53,Luís Moreira Testa,PS,"… mas, na verdade, quando teve oportunidade de dirigir políticas, quando teve capacidade de influenciar politicamente, quando teve responsabilidades junto do Governo que V. Ex.ª apoiava, aquilo que V. Ex.ª fez foi um mero exercício de esconderijo, escondendo-se das suas responsabilidades e permitindo que tribunais do seu distrito pudessem ter sido encerrados. Não vou muito mais além, mas tribunais do seu distrito foram encerrados, juntas de freguesia foram agregadas,…",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,54,Pedro do Carmo,PS,"Tudo para trás, tudo a andar para trás! ",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,55,Luís Moreira Testa,PS,"… centros de saúde passaram a funcionar fim de semana sim, fim de semana não. Protestos do Deputado do PSD Duarte Marques. A presença do Estado no território ficou altamente e gravosamente prejudicada aquando do Governo PSD/CDS. Aplausos do PS.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,56,Carlos Peixoto,PSD,Nem se lembra da troica!,Declarações políticas
